Location,Rent,Posted_date
"Downtown Dubai, Dubai",228345,2025-04-20 18:33:59.387905
"Dubai Hills, Dubai",385822,2024-11-08 18:33:59.387905
"Jumeirah Village Circle, Dubai",321279,2025-02-18 18:33:59.387905
"Dubai Marina, Dubai",242302,2024-10-27 18:33:59.387905
"Dubai Hills, Dubai",204737,2024-12-06 18:33:59.387905
"Downtown Dubai, Dubai",199935,2024-11-06 18:33:59.387905
"Dubai Marina, Dubai",203995,2024-10-29 18:33:59.387905
"Jumeirah Village Circle, Dubai",182923,2025-02-20 18:33:59.387905
"Dubai Silicon Oasis, Dubai",133290,2025-03-08 18:33:59.387905
"Dubai Marina, Dubai",135921,2025-01-09 18:33:59.387905
"Business Bay, Dubai",396869,2024-12-04 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",209399,2024-11-10 18:33:59.387905
"Jumeirah Village Circle, Dubai",96389,2024-11-16 18:33:59.387905
"Dubai Silicon Oasis, Dubai",159044,2025-01-22 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",368524,2024-12-30 18:33:59.387905
"Jumeirah Village Circle, Dubai",365742,2025-03-20 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",182286,2024-12-18 18:33:59.387905
"Dubai Marina, Dubai",370155,2025-03-20 18:33:59.387905
"Dubai Hills, Dubai",82214,2025-03-05 18:33:59.387905
"Business Bay, Dubai",99468,2024-11-02 18:33:59.387905
"Dubai Hills, Dubai",197845,2025-02-09 18:33:59.387905
"Palm Jumeirah, Dubai",324982,2024-10-29 18:33:59.387905
"Dubai Hills, Dubai",163796,2025-01-24 18:33:59.387905
"Jumeirah Village Circle, Dubai",281289,2025-04-08 18:33:59.387905
"Dubai Hills, Dubai",87700,2024-11-24 18:33:59.387905
"Dubai Silicon Oasis, Dubai",172636,2025-01-11 18:33:59.387905
"Dubai Silicon Oasis, Dubai",86582,2024-12-02 18:33:59.387905
"Palm Jumeirah, Dubai",358745,2025-01-14 18:33:59.387905
"Jumeirah Village Circle, Dubai",349302,2025-01-15 18:33:59.387905
"Dubai Silicon Oasis, Dubai",136246,2024-11-02 18:33:59.387905
"Jumeirah Village Circle, Dubai",152027,2025-04-13 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",272765,2025-01-01 18:33:59.387905
"Business Bay, Dubai",105400,2024-11-13 18:33:59.387905
"Dubai Marina, Dubai",302153,2024-12-19 18:33:59.387905
"Dubai Silicon Oasis, Dubai",201913,2025-04-13 18:33:59.387905
"Palm Jumeirah, Dubai",272859,2025-01-29 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",128035,2024-11-30 18:33:59.387905
"Jumeirah Village Circle, Dubai",327465,2025-03-21 18:33:59.387905
"Dubai Hills, Dubai",170367,2025-01-08 18:33:59.387905
"Business Bay, Dubai",230629,2024-11-14 18:33:59.387905
"Dubai Silicon Oasis, Dubai",44824,2024-10-31 18:33:59.387905
"Palm Jumeirah, Dubai",311190,2025-03-16 18:33:59.387905
"Downtown Dubai, Dubai",394054,2025-01-05 18:33:59.387905
"Downtown Dubai, Dubai",199794,2025-01-03 18:33:59.387905
"Downtown Dubai, Dubai",280738,2024-11-15 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",334116,2024-12-08 18:33:59.387905
"Dubai Silicon Oasis, Dubai",263956,2024-11-19 18:33:59.387905
"Dubai Marina, Dubai",305046,2025-01-31 18:33:59.387905
"Dubai Marina, Dubai",222335,2025-01-21 18:33:59.387905
"Dubai Silicon Oasis, Dubai",292893,2025-01-06 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",323790,2025-03-05 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",42119,2024-10-29 18:33:59.387905
"Downtown Dubai, Dubai",136785,2024-12-30 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",371882,2024-11-21 18:33:59.387905
"Dubai Marina, Dubai",51567,2024-11-01 18:33:59.387905
"Downtown Dubai, Dubai",317738,2024-12-29 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",219777,2025-02-27 18:33:59.387905
"Dubai Silicon Oasis, Dubai",112125,2024-12-13 18:33:59.387905
"Jumeirah Village Circle, Dubai",362454,2025-02-20 18:33:59.387905
"Dubai Hills, Dubai",377327,2025-01-17 18:33:59.387905
"Downtown Dubai, Dubai",118531,2025-03-14 18:33:59.387905
"Jumeirah Village Circle, Dubai",384223,2025-03-11 18:33:59.387905
"Dubai Hills, Dubai",192180,2025-01-20 18:33:59.387905
"Business Bay, Dubai",366589,2025-01-19 18:33:59.387905
"Dubai Marina, Dubai",106074,2024-12-12 18:33:59.387905
"Dubai Hills, Dubai",75843,2024-11-21 18:33:59.387905
"Business Bay, Dubai",63753,2024-12-21 18:33:59.387905
"Dubai Silicon Oasis, Dubai",315635,2025-02-06 18:33:59.387905
"Downtown Dubai, Dubai",314696,2025-03-02 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",177036,2025-03-30 18:33:59.387905
"Dubai Silicon Oasis, Dubai",98701,2025-04-17 18:33:59.387905
"Dubai Silicon Oasis, Dubai",226658,2024-10-26 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",247071,2025-01-28 18:33:59.387905
"Jumeirah Village Circle, Dubai",214530,2025-03-23 18:33:59.387905
"Dubai Marina, Dubai",65489,2025-04-17 18:33:59.387905
"Downtown Dubai, Dubai",240917,2025-01-04 18:33:59.387905
"Jumeirah Village Circle, Dubai",319531,2025-01-14 18:33:59.387905
"Jumeirah Village Circle, Dubai",56724,2025-04-03 18:33:59.387905
"Dubai Marina, Dubai",368625,2025-01-05 18:33:59.387905
"Palm Jumeirah, Dubai",284635,2025-03-25 18:33:59.387905
"Palm Jumeirah, Dubai",179625,2025-02-15 18:33:59.387905
"Jumeirah Lakes Towers, Dubai",237401,2025-03-12 18:33:59.387905
"Dubai Marina, Dubai",337429,2024-11-11 18:33:59.387905
"Downtown Dubai, Dubai",185360,2025-03-15 18:33:59.387905
"Downtown Dubai, Dubai",77695,2025-02-08 18:33:59.387905
"Dubai Marina, Dubai",144795,2024-10-31 18:33:59.387905
"Downtown Dubai, Dubai",112085,2025-01-01 18:33:59.387905
"Business Bay, Dubai",294814,2024-12-07 18:33:59.387905
"Palm Jumeirah, Dubai",168703,2025-01-02 18:33:59.387905
"Dubai Marina, Dubai",151015,2025-01-17 18:33:59.387905
"Dubai Silicon Oasis, Dubai",353732,2025-02-23 18:33:59.387905
"Business Bay, Dubai",205832,2025-03-03 18:33:59.387905
"Business Bay, Dubai",373053,2024-12-28 18:33:59.387905
"Dubai Hills, Dubai",80137,2024-11-20 18:33:59.387905
"Dubai Marina, Dubai",304976,2025-03-11 18:33:59.387905
"Palm Jumeirah, Dubai",280693,2025-02-08 18:33:59.387905
"Downtown Dubai, Dubai",227195,2025-02-24 18:33:59.387905
"Business Bay, Dubai",172601,2025-02-15 18:33:59.387905
"Dubai Silicon Oasis, Dubai",298585,2025-03-05 18:33:59.387905
"Dubai Marina, Dubai",94205,2025-03-24 18:33:59.387905
"Dubai Hills, Dubai",141635,2025-01-11 18:33:59.387905
